,,,,,,,,,,,,
,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки
,S.AD.1,5. Structures,5.1 Address Structure,StreetName,Име на улица или пощенска кутия. Може да включва и номер на сграда.,SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.AD.2,,,Number,"Номер на сградата, ако има такъв.",SAFshorttextType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.3,,,AdditionalAddressDetail,Втори ред за адрес,SAFmiddle2textType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.4,,,Building,"Идентификатор на сграда (номер, буквено означение, и т.н.)",SAFmiddle1textType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.5,,,City,Населено място,SAFmiddle1textType,ERP,Mandatory,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.6,,,PostalCode,Пощенски код,SAFshorttextType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.7,,,Region,Регион на съответната данъчна администрация,SAFmiddle1textType,ERP,Optional,Разрешени са всички ISO ASCII символи,Валидните кодове са кодове от ISO 3166-2:BG,N/A,
,S.AD.8,,,Country,Двубуквен код на държава съгласно ISO 3166-2-CountryCodes.,ISOCountryCode,ERP,Mandatory,Разрешени са всички ISO ASCII символи,Валидиране съгласно  ISO3166-2-CountryCodes,BG,
,S.AD.9,,,AddressType,"Тип адрес.
Изберете от списък: примери: StreetAddress, PostalAddress, BillingAddress, ShipToAddress, ShipFromAddress.",SAFshorttextType,ERP,Optional,"Разрешени са всички ISO ASCII символи

валидиране на: StreetAddress, PostalAddress, BillingAddress, ShipToAddress, ShipFromAddress.",N/A,N/A,
,S.AM.1,,5.2 AmountStructure,Amount,"Сумата във валутата по подразбиране на заглавния блок на SAF-T файла (основна валута). Сумата се представя като десетично число с две десетични цифри след разделителя на десетичната точка ("" . "")
Тази сума може да бъде отрицателна или положителна, според случая. Отрицателните суми се предхождат със знак минус (""-"")",SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A - валидирането между декларираната сума и сумата в чуждестранна валута не се проверява въз основа на декларирания обменен курс,N/A,
,S.AM.2,,,CurrencyCode,Трибуквен код на валутата съгласно стандарта ISO 4217. Пример: EUR за евро или USD за щатски долари.,ISOCurrencyCode,ERP,Mandatory,Само буквени символи,"Валидиране съгласно ISO4217CurrCodes
",N/A,"Попълнено съгласно номенклатурата ISO4217CurrCodes. Тук се подава CurrencyCode - например EUR, USD, т.н.
"
,S.AM.3,,,CurrencyAmount,"Сумата в чуждестранна валута.
Сумата се представя като десетично число с две десетични цифри след разделителя на десетичната точка ("" . "")
Тази сума може да бъде отрицателна или положителна, според случая. Отрицателните суми се предхождат със знак минус (""-"")",SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A,N/A,"Посочва се сумата в чуждестранна валута (напр. EURO). Число с два знака след десетичната точка. 

В случай, че Сумата е в лева, стойността, отчетена за CurrencyAmount = Amount"
,S.AM.4,,,ExchangeRate,Използван обменен курс. CurrencyAmount x ExchangeRate = Amount,SAFexchangerateType,ERP,Optional,"Десетично число с разделител - десетична точка, максимум 4 (четири) цифри след десетичната точка.",N/A,N/A,"Посочва се обменният курс, използван за определяне в лева на данъчната основа на данъка. Валутният курс е от датата на изискуемост на данъка, независимо от датата, на която са или ще бъдат получени стоките/фактурите/услугите/другите финансови документи"
,S.AN.1,,5.3 AnalysisStructure,AnalysisType,"Идентификатор на кода за анализ: разходен център, разходна единица, тип разходи, проект и др. Отнася се за секция MasterFile, подсекция AnalysisTypeTable",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,Подсекция AnalysisTypeTable не е задължителна за подаване.
,S.AN.2,,,AnalysisID,"Стойност на AnalysisID, например: код (ИД) на разходен център",SAFlongtextType,ERP,Mandatory,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AN.3,,,AnalysisAmount,Сума за конкретния анализен код (например - сума по разходен център),AmountStructure, ,Optional,N/A,N/A,N/A,
,S.BA.1,,5.4 BankAccountStructure,IBANNumber,"Международен номер на банкова сметка, ISO 13616",SAFmiddle1textType,ERP,Mandatory,Валидиране срещу IBAN-ISO13616-1997,"Валидиране на дължината на IBAN и знаците в низа IBAN, което означава, че ако стандартът указва, че следващите 2 знака след кода на страната трябва да бъдат цифрови, не се приемат буквени знаци, а ако следващите 4 знака са банковия код и са символни, те не трябва да бъдат цифрови. 
",N/A,"Ако е наличен IBAN на сметка, издадена от кредитна институция, IBANNumber се подава, аелементи  AccountNumber и SortCode не се подават. 
"
,S.BA.2,,,AccountNumber,"Номер на платежна сметка издадена от платежен оператор или дружество за електронни пари, в случаите, в които номера на сметката не е IBAN.",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,"Ако платежната сметка е издадена от платежен оператор или дружество за електронни пари, които не са кредитна институция, задължително се подават AccountNumber и SortCode."
,S.BA.3,,,AccountName,"Име на физическото лице или фирмата, титуляри на банковата сметка.",SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.BA.4,,,SortCode,Данни за платежния оператор или дружество за електронни пари издало платежната сметка.,CompanyStructure,ERP,Mandatory ,N/A,N/A,N/A,
,S.CMH.1,,5.5 CompanyHeaderStructure,RegistrationNumber,Уникален идентификационен номер на дружеството ЕИК или служебен номер на НАП,SAFmiddle1textType, ,Mandatory,N/A,Единен идентификационен код (ЕИК) или служебен номер на НАП,N/A,
,S.CMH.2,,,Name,,SAFmiddle2textType, ,Mandatory,N/A,N/A,N/A,
,S.CMH.3,,,Address,,AddressStructure, ,Mandatory,N/A,N/A,N/A,
,S.CMH.4,,,Contact,Контакти на компанията.,ContactHeaderStructure, ,Mandatory,N/A,N/A,N/A,
,S.CMH.5,,,TaxRegistration,,TaxIDStructure, ,Optional,N/A,N/A,N/A,
,S.CMH.6,,,BankAccount,,BankAccountStructure, ,Mandatory,N/A,N/A,N/A,
,S.C.1,,5.6 CompanyStructure,RegistrationNumber,"Уникален идентификационен номер на дружеството - ДДС номер, ЕИК или служебен номер на НАП, ЕГН или друг идентификационен номер за чуждестранно лице",SAFmiddle1textType,,Mandatory,N/A,N/A,N/A,
,S.C.2,,,Name,Името на фирмата (кирилица),SAFmiddle2textType,ERP,Mandatory,N/A,N/A,N/A,Елементът не е задължителен при подадени данни в елемент S.C.2.1 NameLatin.
,S.C.2.1,,,NameLatin,Име на компанията (изписване с латински букви),SAFmiddle2textType,ERP,Mandatory,,,,Елементът не е задължителен при подадени данни в елемент S.C.2. Name.
,S.C.3,,,Address,Адрес на фирмата,Address Structure,ERP,Mandatory,N/A,N/A,N/A,
,S.C.4,,,Contact,Контакти на фирмата.,ContactInformationStructure,ERP,Optional,N/A,N/A,N/A,
,S.C.5,,,TaxRegistration,Данъчна регистрация на фирмата (структура),TaxIDStructure,ERP,Optional,N/A,N/A,N/A,"Структурата е задължителна за подаване, ако за един и същи контрагент в секция SourceDocuments са подадени данни за получени/извършени от/към него доставки под различни идентификатори за целите на ДДС /VIN/, присвоен в различни държави членки - моля виж бележките към елементи SupplierID MF.S.3 и CustomerID MF.C.3 от секция MasterFiles. В този случай структурата се подава поотделно за всеки идентификатор за целите на ДДС на този доставчик/клиент."
,S.C.6,,,Bank Account,Банкови сметки на фирмата,BankAccountStructure,ERP,Optional,N/A,N/A,N/A,
,S.C.7,,,RelatedParty,Определя дали фирмата е свързано лице,,ERP,Mandatory,"Разрешените стойности са Y или N, респективно Да или Не",N/A,N/A,"Свързаността се определя съгласно §1, т. 3 от ДР на ДОПК.
При възникване на задължение за подаване на файла /първоначално подаване/ се посочва съответната стойност. При попълнена стойност „Y“ (респективно „Yes“ или „Да“) поле S.C.7 е задължително и следва да се посочи датата на която е възникнало това обстоятелство. При промяна на стойността в този елемент от предходният период, се посочва съответната дата съобразно бележките в полета S.C.8 и S.C.9."
,S.C.8,,,RelatedPartyStartDate,Начална дата от която фирмата е свързано лице,Date,ERP,Optional,N/A,N/A,N/A,"Полето е препоръчително при попълнена стойност „Y“ (респективно „Yes“ или „Да“) в поле S.C.7 RelatedParty, като тук се посочва датата на която е възникнало това обстоятелство. 
При попълнена стойност „N“ поле S.C.8 е незадължително.
Ако лицето, подаващо файла, не знае датата от която е свързано лице с контрагент - посочва началната дата на периода, за който се подава файла с посочена стойност ""Y"" в елемент S.C.7."
,S.C.9,,,RelatedPartyEndDate,"Крайна дата, на която фирмата е свръзано лице",Date,ERP,Optional,N/A,N/A,N/A,"При промяна в поле S.C.7 на попълнена стойност „Y“ във файла за предходния месец на „N“ във файла за текущия месец  полето е задължително.,
Ако няма промяна в стойността на поле S.C.7 - полето е незадължително."
,S.CTH.1,,5.7 ContactHeaderStructure,ContactPerson,Име на лице за контакт,PersonNameStructure, ,Mandatory,N/A,N/A,N/A,
,S.CTH.2,,,Telephone,Телефонен номер,SAFshorttextType, ,Mandatory,N/A,N/A,N/A,
,S.CTH.3,,,Fax,Номер на факс,SAFshorttextType, ,Optional,N/A,N/A,N/A,
,S.CTH.4,,,Email,Имейл адрес,SAFmiddle2textType, ,Mandatory,N/A,N/A,N/A,
,S.CTH.5,,,Website,,anyURI, ,Optional,N/A,N/A,N/A,
,S.CI.1,,5.8 ContactInformationStructure,ContactPerson,Името на лицето за контакт,PersonNameStructure,,Mandatory,N/A,N/A,N/A,
,S.CI.2,,,Telephone,Телефонен номер,SAFshorttextType,,Optional,N/A,N/A,N/A,
,S.CI.3,,,Fax,Номер на факс,SAFshorttextType,,Optional,N/A,N/A,N/A,
,S.CI.4,,,Email,Имейл адрес,SAFmiddle2textType,,Optional,N/A,N/A,N/A,
,S.CI.5,,,Website,Адрес на сайт,anyURI,,Optional,N/A,N/A,N/A,
,S.H.1,,5.9 HeaderStructure,AuditFileVersion,"Идентификация на версията, използвана за стандартния одитен файл SAF-T",SAFcodeType, ,Mandatory,N/A,N/A,N/A,Попълва се съответната версия на спецификацията на SAF-T за България.
,S.H.2,,,AuditFileCountry,Двубуквен код на страната съгласно стандарта ISO 3166-1 alpha 2. Пример BG за България,ISOCountryCode, ,Optional,Разрешени са всички ISO ASCII символи,Валидиране съгласно ISO3166-2-CountryCodes,BG,"Попълва се с ""БГ"" за България"
,S.H.3,,,AuditFileRegion,Специфичен за страната код за посочване на регионите в рамките на данъчната администрация. За предпочитане е описано в съответствие с ISO3166-1A2,SAFcodeType, ,Optional,Валидиране съгласно  ISO3166-1A2 - ,Валидните кодове са кодове от ISO 3166-2:BG,N/A,"Попълва се съгласно номенклатура ISO3166:2-BG
"
,S.H.4,,,AuditFileDateCreated,Дата на създаване на SAF-T файла,Date, ,Mandatory,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.H.5,,,SoftwareCompanyName,"Име на софтуерната компания, чийто продукт е създал данните за SAF-T.",SAFmiddle2textType, ,Mandatory,N/A,N/A,N/A,
,S.H.6,,,SoftwareID,"Име на софтуера, източник на данните за SAF-T.",SAFlongtextType, ,Mandatory,N/A,N/A,N/A,
,S.H.7,,,SoftwareVersion,"Версия на софтуера, източник на данните за SAF-T.",SAFshorttextType, ,Mandatory,N/A,N/A,N/A,
,S.H.8,,,Company,Име и адрес на компанията,CompanyHeaderStructure, ,Mandatory,N/A,N/A,N/A,
,S.H.8.1,,,Ownership,Структура на собствеността на компанията.,OwnershipStructure,,Mandatory,N/A,N/A,N/a,
,S.H.9,,,DefaultCurrencyCode,"Трибуквен код на валута (съгласно ISO 4217) / основната местна валута, която се използва по-подразбиране в SAF-T файла",ISOCurrencyCode, ,Mandatory,Валидиране според българската локализация (EUR),N/A,BGN,"Попълва се с ""EUR"" за България"
,S.H.10,,,SelectionCriteria,"Критерии, зададени от потребителя за попълване на SAF-T файла. За повече информация, виж описанието на SelectionCriteriaStructure",SelectionCriteriaStructure, ,Mandatory,N/A,N/A,N/A,
,S.H.11,,,HeaderComment,"Показва вида на подадения файл. Това може да бъде:  месечен / Monthly, годишен / annual или ""при поискване""/on demand.",SAFlongtextType, ,Optional,"Ограничение на стойностите:
- M- за месечни 
- А - за годишни 
- D - при поискване ","Ограничение на стойностите:
- M- за месечни 
- А - за годишни 
- D - при поискване 
",N/A,"Полето се попълва, като се използва свързаният код според вида на подаденият файл, както следва:
- за месечн да се попълва с ""M""
- за годишен да се попълва с ""А""
- при поискване се попълва с ""D"""
,S.H.12,,,SegmentIndex,"Индекс на сегмента в последователността. В случаите, в които SAF-T се подава на части, индикира индекса (последователността) на настоящата част в цялата последователност.",SAFcodeType,,Optional,Числова стойност,Стойността трябва да е по-голяма от 0,N/A,
,S.H.13,,,TotalSegmentsInSequence,Общ брой сегменти в последователността,SAFcodeType,,Optional,Числова стойност,Стойността трябва да е по-голяма от 0,N/A,
,S.I.1,,5.10 InvoiceStructure,InvoiceNo,Номер на фактура,SAFmiddle2textType,ERP,Mandatory,N/A,N/A,N/A,
,S.I.2,,,CustomerInfo,,Customer Info, ERP,Mandatory,N/A,"Ако фактурата е свързана с продажба, попълнете CustomerInfo и не отчитайте SupplierInfo – т. е. елемента не се отчита в XML файла.
",N/A,"В случай на продажба доставчикът е отчитащият се данъкоплатец.

За издадени фактури (свързани с продажба) — попълнете информация за клиента с данни за клиента и не докладвайте информация за доставчика."
,S.I.3,,,SupplierInfo,,Supplier Info, ERP,Mandatory,N/A,"Ако фактурата е свързана с покупка, попълнете SupplierInfo и не отчитайте CustomerInfo – т. е. елемента не се отчита в XML файла.
",N/A,"В случай на покупка, клиентът или купувачът е отчитащият данъкоплатец.

За получените фактури (свързани с покупка) попълнете информацията за доставчика с данните на доставчика и не докладвайте информация за клиента."
,S.I.4,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставената номенклатура на сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, по-голямо от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Полето се попълва, като се използват съответните кодове, валидирани с представената Номенклатура на счетоводните сметки. Тук се посочва балансова сметка за доставчик/клиент."
,S.I.5,,,BranchStoreNumber,Номер на клон или магазин,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.6,,,Period,"Счетоводен период. 
Например - ако SAF-T файлът се подава за месец май (от 1 Май до 31 Май), 2026 година и финансовата година на организацията е от 1 Януари 2026 до 31 Декември 2026, тогава полето следва да има стойност 5.",nonnegativeInteger,ERP,Optional,N/A,N/A,N/A,
,S.I.7,,,Period year,Година на счетоводния период,nonnegativeInteger,ERP,Optional,Максимум - текуща година,N/A,N/A,
,S.I.8,,,Invoice date,Дата на фактура,Date,ERP,Mandatory,Валидиране съгласно стандарт  ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.I.9,,,InvoiceType,"Вид на документа: Фактура, Дебитно известие, Кредитно известие и т.н.",SAFcodeType,ERP,Mandatory,N/A,Валидира се съгласно номенклатурата  nom_invoice_types,N/A,"Вида на документите се отчитат съгласно номенклатура - nom_invoice_types
"
,S.I.10,,,Ship To,Структура за адрес на доставка - крайна точка / дестинация -вж. ShippingPointStructure за детайли относно съдържанието.,ShippingPointStructure, ,Optional,N/A,N/A,N/A,
,S.I.11,,,Ship From,Структура за адреса за доставка - начална точка - вж. ShippingPointStructure за детайли относно съдържанието.,ShippingPointStructure, ,Optional,N/A,N/A,N/A,
,S.I.12,,,Payment terms,"Условия за плащане на фактурата (напр. срок за плащане, краен срок или други условия свързани с плащането)",SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.I.13,,,Self-billing indicator,"Индикатор, показващ дали за тази фактура се използва за самофактуриране",SAFcodeType,ERP,Mandatory,"""Y"" или ""N"".","""Y"" в случай на издаване на фактура от името на доставчик от данъкоплатеца или ""N"".",N/A,"Фактури, издадени от името и за сметка на доставчика, за които има споразумение за самофактуриране."
,S.I.14,,,Source ID,"Детайли за лицето или приложението, които са въвели/генерирали транзакцият.
Код и/или описание на вътрешен модул или външна информационна система (приложение), което е генерирало/осчетоводило транзакцията. Алтернативно, се посочва код/име/номер на потребител на информационната система, ако транзакцията е въведена ръчно.",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.15,,,GL Posting Date,Дата на осчетоводяване ,Date,GL,Optional,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.I.16,,,Batch ID,Системно генериран идентификатор на пакет.  ,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.17,,,System ID,"Уникален идентификатор, генериран от информационната система на данъкоплатеца",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.18,,,TransactionID,"Идентификатор/референция към транзакцията. Обикновено буквено-цифров или цифров идентификатор, генериран от информационната система на данъкоплатеца за конкретната транзакция.",SAFmiddle2textType,GL/ERP,Mandatory,N/A,N/A,N/A,
,S.I.19,,,Receipt Numbers,"Номера на стокови разписки в този ""консолидиран запис на фактурата"". Може да бъде едно число, диапазон или списък.",SAFlongtextType,ERP,Optional,N/A,N/A,N/A,"Попълва се със стокова разписка No., 
"
,S.I.20,,,Line,,InvoiceLine, ,Mandatory,N/A,N/A,N/A,
,S.I.21,,,InvoiceSettlement,,InvoiceSettlement, ,Optional,N/A,N/A,N/A,
,S.I.22,,,InvoiceDocumentTotals,,InvoiceDocumentTotals, ,Optional,N/A,N/A,N/A,
,S.I.23,,CustomerInfo,CustomerID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).
",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,
,S.I.24,,,Name,Име на клиента,SAFmiddle2textType,ERP,Mandatory,N/A,N/A,N/A,
,S.I.25,,,Billing Address,,AddressStructure, ,Mandatory,N/A,N/A,N/A,
