,,
,,
,НОМЕНКЛАТУРА ЗА ДВИЖЕНИЕ НА ПРОДУКТИ (МАТЕРИАЛНИ ЗАПАСИ),
,,
,"Номенклатура на движението на продуктите в складови наличности. Кодове, използвани за попълване на полето MovementType и StockMovementType",
,,
,Код,Наименование
,"Кодове, използвани за попълване на полето MovementType и StockMovementType ",Описанието не се използва във SAF-T файла (използва се само кода)
,10,Покупка
,20,Материални запаси от производство /продукция/
,30,Продажба 
,40,Връщане на продадени продукти
,50,Връщане на закупени продукти
,60,Получени отстъпки в натура
,65,Предоставени отстъпки в натура
,70,Материални запаси за производство
,80,Вътрешен трансфер
,90,"Последващи разходи, капитализирани в стойността на стоките"
,100,Положителна ценова разлика
,101,Отрицателна ценова разлика
,110,Положителна корекция от инвентаризацията
,120,Отрицателна корекция от инвентаризацията
,130,Увеличение от преоценка на материалните запаси
,140,Намаление от преоценка на материалните запаси
,150,Безвъзмездно предоставени материални запаси 
,160,Брак на материални запаси
,170,Материални запаси с изтекъл срок на годност
,180,Други движения на материални запаси